id,domainn,created_time,updated_time,credibility
a9aefe33-1735-4e33-bbe8-4c86c96d8213,asyncfox.xyz,2024-01-26 14:09:04,,1
3abde2da-d537-46f0-829f-c92b8b9675e1,chainventures.co.uk,2024-01-26 14:09:04,,1
4d003ca7-459f-4c6d-ab89-dcc81bebd16b,pastebin.com,2024-01-26 14:09:04,,1
0655363b-f05f-4545-b000-67a12a9473d5,2makestorage.com,2024-01-26 14:09:04,,1
bedf9125-f031-4020-992e-03f2bc61c27a,a-poster.info,2024-01-26 14:09:04,,1
4db0a46c-1f21-4a50-953c-ba2385d788ef,cdnhongkong.cc,2024-01-26 14:09:04,,1
fb857ae9-ba18-4778-8063-1b117d2ff3c4,cozypoker.net,2024-01-26 14:09:04,,1
3a6478ba-b8cf-4284-b5ed-041739fa0366,electrum-server.ninja,2024-01-26 14:09:04,,1
3f7bc102-a31c-462e-bbd2-96f0c146ac42,humisnee.com,2024-01-26 14:09:04,,1
e4dd22b4-f747-4b66-bdef-dfe9e27030a1,iceanedy.com,2024-01-26 14:09:04,,1
488440a4-af00-4e55-97b0-9014998454b7,jorty.info,2024-01-26 14:09:04,,1
fd87c898-37d9-46aa-b15e-cb8c54d87ae0,ninhaine.com,2024-01-26 14:09:04,,1
dff1a7bd-d1e2-4dbb-955d-f626a15c7ffb,nisdably.com,2024-01-26 14:09:04,,1
ce239847-aecb-4d14-9fa9-6585562175bc,pldnice.org,2024-01-26 14:09:04,,1
fc44672b-bb04-4b6c-b127-b61ef2a57575,proxycheck.link,2024-01-26 14:09:04,,1
8c56f40f-af9f-4cd0-a7a0-3beaff121b10,spolaect.info,2024-01-26 14:09:04,,1
9843a928-5344-40a1-be3d-e2bc1e015c76,adobe.com,2024-01-26 14:09:04,,1
9fa11f0f-ac56-4f29-bb1b-0e454c7126f3,authrootstl.cab,2024-01-26 14:09:04,,1
9220deac-b30c-4480-8f48-09e37010b2f5,hotmail.com,2024-01-26 14:09:04,,1
05480f45-4ee1-496f-b379-86b6a92359cd,ifconfig.me,2024-01-26 14:09:04,,1
e88d0eaf-6885-4b5c-a19c-869f779eb44c,ip-api.com,2024-01-26 14:09:04,,1
3917cbbe-bcc5-4c61-872a-6c2c1427a612,live.com,2024-01-26 14:09:04,,1
da5e6e9b-3fe3-4453-b982-8a2070d75951,windowsupdate.com,2024-01-26 14:09:04,,1
